NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
STEVENSON,41.38248096,-73.17136925,HYDROELECTRIC POWER GENERATION,30.5,28.9,28.9,4,1
TENTH STREET,41.53926496,-72.05178561,HYDROELECTRIC POWER GENERATION,1.4,1,1.2,1,0
TAFTVILLE,41.57118875,-72.04673017,HYDROELECTRIC POWER GENERATION,1.6,2,2,5,0
TUNNEL,41.55543,-72.04183,FOSSIL FUEL ELECTRIC POWER GENERATION,20.5,18.1,24,3,0
RAINBOW (CT),41.9153672,-72.6934355,HYDROELECTRIC POWER GENERATION,8,8,8,2,0
FALLS VILLAGE,41.9572357,-73.36937687,HYDROELECTRIC POWER GENERATION,9,9.9,11.1,3,0
FRANKLIN DRIVE,41.79894,-73.11627,FOSSIL FUEL ELECTRIC POWER GENERATION,21.8,16.1,21.2,1,1
MIDDLETOWN,41.55465812,-72.57927987,FOSSIL FUEL ELECTRIC POWER GENERATION,786.4,770.2,789.1,4,1
SOUTH MEADOW,41.7497925,-72.65193876,FOSSIL FUEL ELECTRIC POWER GENERATION,167.2,148.4,188.9,4,1
STANTON ENERGY CENTER,28.48271392,-81.16593184,FOSSIL FUEL ELECTRIC POWER GENERATION,1262,1193,1198,4,1
TORRINGTON TERMINAL,41.77585202,-73.12065938,FOSSIL FUEL ELECTRIC POWER GENERATION,21.8,17.4,22.5,1,1
MILLSTONE,41.31147953,-72.16779225,NUCLEAR ELECTRIC POWER GENERATION,2162.9,2073.1,2096.7,2,1
BRIDGEPORT STATION,41.17142749,-73.1836082,FOSSIL FUEL ELECTRIC POWER GENERATION,994.9,770.8,919.2,4,1
CENTRAL HUDSON HIGH FALLS,41.82902253,-74.13101485,HYDROELECTRIC POWER GENERATION,3.2,3.2,3.2,1,0
NORTH MAIN STREET,41.5268418,-72.06490925,FOSSIL FUEL ELECTRIC POWER GENERATION,19,15.3,18.8,1,0
J C MCNEIL,44.49302247,-73.20829609,BIOMASS ELECTRIC POWER GENERATION,59.5,52,54,1,0
